Timestamp,Status,Feedback
2024-05-18 22:46:04,SLEEPING !!!,not good,slow detection,improve accuracy
Timestamp,Status,Feedback
2024-05-18 23:05:21,SLEEPING !!!
2024-05-18 23:05:24,Drowsy !
2024-05-18 23:05:32,Drowsy !
2024-05-18 23:05:45,Drowsy !,,,
Timestamp,Status,Feedback
2024-05-20 15:49:39,Drowsy !
Timestamp,Status,Feedback
2024-05-20 15:51:26,Drowsy !
2024-05-20 15:51:32,SLEEPING !!!
2024-05-20 15:51:37,SLEEPING !!!
Timestamp,Status,Feedback
2024-05-20 15:51:55,SLEEPING !!!
2024-05-20 15:52:04,Drowsy !
Timestamp,Status,Feedback
2024-05-20 15:52:26,SLEEPING !!!
2024-05-20 15:52:30,SLEEPING !!!
2024-05-20 15:52:35,SLEEPING !!!
2024-05-20 15:52:43,SLEEPING !!!
2024-05-20 15:52:48,SLEEPING !!!
2024-05-20 15:52:53,SLEEPING !!!
2024-05-20 15:52:57,SLEEPING !!!
2024-05-20 15:53:02,SLEEPING !!!
2024-05-20 15:53:05,Drowsy !
2024-05-20 15:53:08,Drowsy !
Timestamp,Status,Feedback
Timestamp,Status,Feedback
2024-05-31 15:48:59,SLEEPING !!!
2024-05-31 15:49:01,SLEEPING !!!
2024-05-31 15:49:20,SLEEPING !!!
2024-05-31 15:49:23,Drowsy !
2024-05-31 15:49:24,Drowsy !
2024-05-31 15:49:26,Drowsy !
2024-05-31 15:49:52,SLEEPING !!!
2024-05-31 15:49:57,Drowsy !
2024-05-31 15:50:04,Drowsy !
2024-05-31 15:50:06,Drowsy !
2024-05-31 15:50:08,Drowsy !
2024-05-31 15:50:10,Drowsy !
2024-05-31 15:50:13,Drowsy !,,,
